category,threads,emails,participants,developers,non_developers,threads_with_D,emails_with_D,started_by_D,answered_thread,unanswered_thread,threads_with_Entity,emails_with_Entity
2.5,4,100,27,14,13,4,54,3,4,0,2,18
1,180,929,155,40,115,146,612,97,136,44,139,638
2,81,439,76,33,43,76,339,63,61,20,29,93
3,37,359,63,30,33,34,303,33,29,8,17,80
4,30,64,30,17,13,23,42,21,12,18,11,17
5,135,424,164,33,131,74,181,28,85,50,81,253
6,43,213,34,15,19,15,43,12,17,26,12,44
2.4,3,4,4,3,1,2,3,2,1,2,0,0
2.1,3,24,8,7,1,3,22,2,3,0,0,0
sample,506,2428,315,49,266,368,1520,254,340,166,289,1125
1.4,36,135,56,22,34,29,79,12,27,9,29,84
5.1,40,128,53,18,35,28,58,14,23,17,32,104
4.1,3,6,4,3,1,3,5,3,1,2,0,0
6.1,24,156,6,3,3,6,8,5,8,16,7,29
4.2,7,26,15,12,3,6,22,5,5,2,2,5
2.7,10,76,28,17,11,9,59,8,8,2,2,3
4.3,3,3,3,3,0,3,3,3,0,3,1,1
2.8,7,32,13,11,2,7,30,7,6,1,0,0
5.2,68,210,99,24,75,32,78,3,46,22,41,128
5.3,27,86,45,16,29,14,45,11,16,11,8,21
6.2,9,30,16,10,6,4,23,4,3,6,1,6
6.3,10,27,19,8,11,5,12,3,6,4,4,9
1.2,85,551,87,34,53,73,386,58,68,17,66,387
4.4,17,29,17,8,9,11,12,10,6,11,8,11
1.3,13,35,19,10,9,10,23,7,7,6,8,18
1.1,46,208,66,26,40,34,124,20,34,12,36,149
2.2,19,54,25,14,11,18,39,10,16,3,7,13
2.6,13,71,21,17,4,12,67,12,10,3,8,30
3.1,16,233,48,26,22,15,196,14,14,2,9,45
2.3,22,78,33,24,9,21,65,19,13,9,10,29
3.2,21,126,34,19,15,19,107,19,15,6,8,35
