,created_at,sentiment,tweet,user_location
0,2017-11-09 23:59:59,neutral,RT @runawayj1m: @EastNash10 @BernieUpstateNY @daveweigel @NomikiKonst @SenSanders This is the DNC the anti-Bernie people like. Doing absolu…,"San Diego, CA"
1,2017-11-09 23:59:59,neutral,RT @cynthiamckinney: South Koreans don't want war; they want reunification!  https://t.co/g3gef8L3bd https://t.co/GS6GozoJhH,
2,2017-11-09 23:59:59,positive,"RT @CloydRivers: When you’re Back to Back World War Champs and Hillary is not your President, every day is a lucky day. Merica.",somewhere in the usa
3,2017-11-09 23:59:59,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,"Washington, D.C."
4,2017-11-09 23:59:58,positive,@WrestleCircus Home in New Mexico with @WrestleCircus on my tv &amp; War Games on my phone hahaha,
5,2017-11-09 23:59:58,neutral,"RT @cammashburn: @MLB Stats speak for themselves. #Reds

AVG.
Votto: .320
Goldschmidt: .297

HR.
Votto: 36
Goldschmidt: 36

OBP.
Votto: .55…","Cincinnati, OH"
6,2017-11-09 23:59:57,positive,RT @ayako_nkd: ???????????????????????????????????????Get wild??????????????????????????????????????????????????????WOW WAR TONIGHT????????…,??? ???
7,2017-11-09 23:59:57,negative,"RT @BenjaminNorton: The US government has spent $5.6 trillion on the ""war on terror"" yet insists it supposedly can't afford universal healt…","Columbus, Ohio"
8,2017-11-09 23:59:57,positive,"RT @itsmaemon: As a ""Big blocker"" I am happy that #Segwit2X got called off, the civil war is over, lets go our seperate ways, no more drama…",Terra
9,2017-11-09 23:59:57,neutral,@MikePrysner @suboe ...which is the trend I just spoke of. Dubya accelerated the US war machine's advancement by leaps and bounds.,Citizen of the Internets
10,2017-11-09 23:59:55,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,
11,2017-11-09 23:59:55,neutral,"Estoy participando en un sorteo de x3 CoD: WWII por parte de @MusicDubstepYT y @TheGrefgYT. #SorteoWWII

https://t.co/mEre6Ppxnj",
12,2017-11-09 23:59:53,neutral,@gerfand @JustinIanAlt @VirtualSignals @nf_reece they cared when people said no we want to be pagans and not worshi… https://t.co/aOvEzkr2KK,"Elon Musk, says, a simulation"
13,2017-11-09 23:59:53,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,
14,2017-11-09 23:59:53,neutral,"RT @david_colquhoun: Some thoughts about AA Milne, Winnie the Pooh, war, private schools and #brexit.
https://t.co/5KUCiLxOQY",North of Ireland
15,2017-11-09 23:59:52,negative,"RT @PMbeers: The Hague, #Netherlands — A prosecutor for the International Criminal Court (ICC) is pursuing a war crimes investigation again…",yakama territory
